file,speaker,gender,dialect,sentence_number,nC_tier1,rateC_tier1,meanC_tier1,meanCLn_tier1,deltaC_tier1,deltaCLn_tier1,varcoC_tier1,rPVI_C_tier1,nPVI_C_tier1,nV_tier1,rateV_tier1,meanV_tier1,meanVLn_tier1,deltaV_tier1,deltaVLn_tier1,varcoV_tier1,rPVI_V_tier1,nPVI_V_tier1,percentV_tier1,nCV_tier1,rateCV_tier1,meanCV_tier1,meanCVLn_tier1,deltaCV_tier1,deltaCVLn_tier1,varcoCV_tier1,rPVI_CV_tier1,nPVI_CV_tier1
23m_zh_096,23,m,zh,096,6,7.527692167443486,0.1328428391804994,-2.255460763909483,0.09548588033502928,0.7839607183793502,0.7187883134994458,6.663515810579579,65.7926371840385,5,6.749562362610756,0.14815775398113312,-2.3154663881173234,0.16356645498932515,0.9539346906963692,1.1040019883816152,14.732367156938109,99.45694608879667,48.17054918656993,11,7.152862767071175,0.13980416408987836,-2.28273604764032,0.12379151024815772,0.8199242427699958,0.8854636845335572,13.56619913300472,84.10627995345207
23m_zh_097,23,m,zh,097,7,7.483813794301877,0.13362171046551063,-2.1433472375137548,0.06264087102232578,0.601431603137928,0.46879261464396643,7.0694537940514435,58.89387848823291,7,10.612631796535144,0.09422733391414598,-2.4017163813762,0.027855685202740555,0.3088463053205329,0.29562213049687797,4.009139173191189,43.849350100251236,41.3551587063663,14,8.777741444758805,0.1139245221898283,-2.272531809444977,0.050862270047381954,0.478481350181525,0.44645585576941893,6.423305413507872,55.19776967174796
23m_zh_098,23,m,zh,098,5,8.573613035797727,0.11663694125506512,-2.380056428912963,0.07547730262469624,0.8236099667302524,0.6471131856899457,5.305684070723881,50.86224307923606,5,11.857672787022816,0.08433358028688501,-2.512168343327735,0.02357771770846661,0.33134280803690785,0.2795768616517904,2.710710214495458,33.353247778057984,41.96315939264824,10,9.951708263754117,0.10048526077097505,-2.4461123861203493,0.055397247986160865,0.5959231521827278,0.5512972505731133,5.912059713652261,51.413286720204134
23m_zh_099,23,m,zh,099,7,10.508961952081325,0.09515687701219125,-2.5920957906975537,0.07077118768035726,0.7746760446618547,0.7437317186364811,6.961276193354554,70.76462482256166,7,9.167562715746739,0.10908024640860563,-2.444227149321974,0.06443969908238051,0.8171659705391557,0.5907549827215709,8.270158617882752,84.92547505703656,53.408628451872474,14,9.79253901789113,0.10211856171039844,-2.5181614700097645,0.06542448712054236,0.7688066255987366,0.6406718428534268,5.365037542338339,54.18704321717098
23m_zh_100,23,m,zh,100,8,8.618286852480258,0.11603234112730999,-2.230305216793588,0.04300104939662709,0.44337816712067885,0.3705953786578054,4.123369884806932,38.44755803501829,8,10.624013204906774,0.09412638903142016,-2.460064101907326,0.044817613625131716,0.47181504030288324,0.4761429189658091,4.993328161403053,56.856323026604564,44.78823647265461,16,9.516616314199396,0.10507936507936508,-2.345184659350457,0.043911611319975424,0.4579309992056275,0.41788995667046097,4.972842889287929,46.47378179612286
23m_zh_101,23,m,zh,101,5,6.947381885645243,0.1439391149731111,-2.077883844636589,0.09907927672076917,0.5431710340093009,0.6883415723327042,11.21982896001713,57.00305339524034,5,10.935642053710296,0.09144410498153743,-2.4044132887607077,0.016186552392021592,0.1754987415687069,0.17701034304277632,2.4399056246894975,26.160701738657107,38.849033078549965,10,8.496782397595469,0.11769160997732427,-2.2411485666986484,0.07242171666353507,0.41765110593728855,0.6153515673503712,6.431455013337602,40.01846722665011
23m_zh_102,23,m,zh,102,6,7.974696376805075,0.1253966236142313,-2.174901618807692,0.05180414646783133,0.5324185793452272,0.41312233914049395,6.535302179560712,52.82755646839934,6,9.870904759228049,0.10130783594737112,-2.312419381458376,0.024025630704644113,0.23238417336417064,0.23715471246592712,2.248196515177756,22.4882031577816,44.68718266207848,12,8.822058480312073,0.11335222978080121,-2.243660500133034,0.04050287496401782,0.3981882998422694,0.35731873155333294,5.163539676137088,46.996300910245935
23m_zh_103,23,m,zh,103,9,7.133863536114057,0.14017649692030945,-2.04995833014638,0.05325391224539566,0.4704411607245256,0.379906142722846,5.316665476368224,39.22361012194553,9,13.750241118757048,0.0727259974107563,-2.7140725328238355,0.031091240712416122,0.4744663519124955,0.4275120564770374,4.931601684411995,70.30452825481707,34.15929796372727,18,9.393971668974332,0.10645124716553288,-2.3820154314851085,0.05471542412187254,0.5716940858381037,0.5139951440567854,7.884889574608654,71.7209597734361
23m_zh_104,23,m,zh,104,7,8.59495400975487,0.11634733575828873,-2.2639356418232457,0.059673173758942426,0.5146285539073541,0.5128881840742213,7.029289191518758,62.60990704840695,7,10.372782601545568,0.09640614658703035,-2.559674399686831,0.08728838528147732,0.6334439064245846,0.9054234441647141,9.660382712850184,70.41583619837864,45.313545763990845,14,9.400551182301262,0.10637674117265954,-2.4118050207550388,0.07257498923847883,0.5753044232042381,0.6822449008912835,7.527425340130517,59.28865464881521
23m_zh_105,23,m,zh,105,5,8.027769456704293,0.12456760316713658,-2.431018875657066,0.11773545298858254,0.9605970553253994,0.945153073472987,13.409791096219854,89.54244548243666,5,13.206088922032343,0.07572264626596999,-2.6873819768349803,0.03751831075701817,0.5252843472692978,0.49547014806162454,5.559953808669053,72.83035478074078,37.806456619976416,10,9.985508559007338,0.10014512471655328,-2.5592004262460235,0.08630798641212484,0.7422927314040605,0.8618291370289616,8.372068863933075,65.6109670054977
23m_zh_106,23,m,zh,106,7,7.42981032562903,0.13459293793147228,-2.1491715676810315,0.08088443529763482,0.5750664280049045,0.6009560125570405,9.062039373707016,57.582064842856674,7,9.518036460944295,0.10506368662311143,-2.360636245145973,0.04816871171093117,0.5345749161747702,0.45847155434135733,4.801030213169953,55.686962952876065,43.83925827979035,14,8.345273174555974,0.11982831227729186,-2.2549039064135026,0.0657659125861517,0.544577536337412,0.5488345061054049,7.715938238932066,63.898690314111306
23m_zh_107,23,m,zh,107,7,6.953073205524362,0.14382129605732888,-2.1775978015191018,0.08030015056944868,0.8941940214850697,0.5583328253240055,6.121921967025894,50.34237490476162,6,12.042399126189133,0.08303993162170287,-2.666372129190121,0.04652906425225178,0.7119940749645538,0.5603215626937148,5.949780794362882,71.94052997227224,33.1058699820741,13,8.637938827783637,0.11576835862550149,-2.40318595275188,0.07155948858848353,0.821787045657534,0.6181264849748019,8.292884805850278,68.98730934963902
23m_zh_108,23,m,zh,108,7,6.800060112679932,0.1470575235261995,-2.352063270230833,0.12656559058122302,1.112096759033642,0.8606536241491536,12.358373366813764,95.28439601681238,7,13.31674384979914,0.07509343209414389,-2.7148543209344536,0.037462191945571544,0.5669999970854825,0.4988744141911847,4.62597518353298,59.281392469574904,33.80288501773487,14,9.002887223307766,0.11107547781017169,-2.5334587955826438,0.09713570755232802,0.8686926473170691,0.8745018204498136,9.575508000060086,71.4653554993759
23m_zh_109,23,m,zh,109,7,6.868019376245875,0.14560238479504836,-1.9778672093404466,0.05191562014094358,0.3401214304907667,0.35655748505782114,6.893422648899349,44.09066557925991,6,9.901381412732848,0.10099600836647231,-2.357062112305283,0.041415715521389306,0.384840667963805,0.4100727958585153,4.161540940929061,40.24361698239834,37.28641125946139,13,7.999051220158781,0.12501482644339787,-2.1528802414780634,0.05097062208722839,0.3978227800207946,0.4077166167990964,7.039872321861069,55.00924908631658
23m_zh_110,23,m,zh,110,5,4.6338165477367355,0.2158048316540333,-2.073395418415732,0.21562762368505292,1.2887411736584302,0.9991788507809479,20.987807221716047,91.5124239475113,5,8.784848440877989,0.11383235655458349,-2.244513338320595,0.04784588679011252,0.4228573748591827,0.42031886397054474,7.127098476826732,61.42056557376582,34.53261968808648,10,6.067276604526381,0.16481859410430838,-2.158954378368163,0.15674961212425872,0.908714112536236,0.9510432544100997,16.00728080043713,82.12843751233474
