agegroup,subjectID,sex,s,stdevM,varcoM,rPVIm,nPVIm,stdevP,varcoP,rPVIp,nPVIp
o_,5,m_re,d_1,6.412597948578957,12.585381555520755,6.74225781659131,13.035984314667886,4.077336326701848,6.794138267735303,3.9168637061448095,6.578091992142491
o_,5,m_re,d_1,4.293291305587616,7.8538309079619255,4.515269590368864,8.205823285399557,3.630124873088393,6.196021053969043,4.141501894665548,6.971634433626906
o_,5,m_re,d_1,5.940203429871089,10.593925395606819,7.407945979279443,13.567383181042361,4.073144414484333,6.71592118670545,3.924921771860992,6.373758035936269
o_,5,m_re,d_1,5.354145030898883,10.181653399108276,6.91977470359643,12.868634031861685,4.605547523051883,7.869134398377297,4.850894642995364,8.405753144709509
o_,5,m_re,d_1,6.272478135617955,11.412205403929555,7.551120926910063,13.956034313503546,3.777343309653047,6.0011464730431925,4.581571817647011,7.370869641319891
o_,5,m_re,d_1,6.7859635461631305,11.119400324440083,4.433200397330342,7.235218980948818,2.8262503108596406,4.015192626414892,2.863288125470084,4.101971268554529
o_,5,m_re,d_1,3.5738973924035506,6.872746412077843,4.952827204412598,9.592241043727698,2.6630551140773218,4.442654686131509,3.416096886187032,5.731371991087335
o_,5,m_re,d_1,5.218411225746363,9.181196705142241,5.070620175720168,8.948913447712469,3.256890649839698,5.1865512020059885,5.169752189497569,8.196295942402001
o_,5,m_re,d_1,4.738225940776944,8.368676228189837,4.575951537231934,8.297415514225818,5.387722254528856,8.582964366113607,6.536168732068015,10.505420096798588
o_,5,m_re,d_1,3.609911014465684,6.744535906110381,4.047824482514344,7.537904331159445,3.4996290037119517,5.725637045962893,4.136040517345327,6.789339083753755
o_,5,m_re,d_1,5.327740981764889,10.16466031771536,6.845931663460907,12.95902787323518,2.1727151483150378,3.5275433955268563,2.4223384975831843,3.9263599086855194
o_,5,m_re,d_1,4.465286346824947,8.215426113760712,6.0167117113569,11.126190965487606,4.874358829624887,8.014131205627715,4.755436160639772,7.562068951470432
o_,5,m_re,d_1,6.139023954757816,12.024162015136433,5.2668917581413925,10.776038160385665,3.8060150206998493,6.203147629696198,4.549013298251349,7.476851269769583
o_,5,m_re,d_1,4.48459384982952,7.766985537906692,5.845070528776232,10.27536816013429,3.3213145241312185,5.336416934513889,3.842489812544275,6.159909940159207
o_,5,m_re,d_1,2.207217850357812,3.936674193813029,2.9448754582688204,5.231800123463082,3.2745667908420915,5.48439739974805,2.387274548556238,4.074737010601435
o_,5,m_re,d_1,4.1416318629525914,7.87126729780102,5.118380419159644,9.884304833977032,2.7568546080952454,4.540860534965014,3.4945386358591204,5.766970841771846
o_,5,m_re,d_1,7.245335621214403,13.437921434135829,6.152306873517674,11.674920953426078,4.046766602234048,6.413217881224473,5.885461094600538,9.38494035402345
o_,5,m_re,d_1,4.272117031706963,7.275392697256036,6.0731881900370945,10.108766430420598,3.254063755784514,4.915338744470176,1.9273936302017276,2.9488487227497444
o_,5,m_re,d_1,5.258999697230201,9.551294773162198,6.655527627072297,11.875986572792531,5.727232467245329,9.057318492146518,5.0758672467968715,8.026515223930868
o_,5,m_re,d_1,2.5130410428042005,4.847155635300958,3.3658267485444378,6.495846790235789,4.754181394788067,7.50392511223321,4.632400656296943,7.266120465211036
o_,5,m_re,d_1,5.936094553817926,10.42963278687455,5.616452883538482,10.002279182897114,4.961703836361893,7.930293634165579,5.608262773236545,9.066233149708491
o_,5,m_re,d_1,4.8905063744406965,8.505564607023539,5.03807049293485,8.76172104482293,4.412616008163498,6.814594835651346,3.0142962212113087,4.70714098469487
o_,5,m_re,d_2,4.009150352828657,7.001597258258112,5.502479183424623,9.779319458209994,3.3302041213597797,5.202601905204184,4.357692053759173,6.83014967300128
o_,5,m_re,d_2,5.654198639176534,9.993247870472866,6.975801812022029,12.164860866356408,3.4825942141221393,5.51269143816621,4.752276581130765,7.563842338801237
o_,5,m_re,d_2,4.54840446446743,8.318584381448476,5.705127528188679,10.467581102149841,3.716189150997669,6.1020061350408055,3.683589203291658,6.1830286791648845
o_,5,m_re,d_2,4.9902882998318585,9.14055525002377,7.0782465261145076,13.077103510098524,2.309214039718531,3.6615598962401132,2.2969355124727278,3.6793787917957075
o_,5,m_re,d_0,8.239063463834349,11.840179383207314,11.651795291807197,16.74454226466211,4.326675890860267,5.371996540815588,5.506910339285774,6.827439600763206
o_,5,m_re,d_0,6.258690381755295,8.848917647062969,5.41551938953361,7.505370162720605,3.813334156775012,4.967646080257823,2.213132316182296,2.918702673928306
o_,5,m_re,d_0,6.01919848649729,9.19622567008094,8.849846357835546,13.218313434401876,4.7949820083198444,6.117669813391096,2.897495632772642,3.7065730664145904
o_,5,m_re,d_0,3.5611763127113507,6.309680680378273,3.029229175151303,5.28762584568234,4.5089691467909745,6.496401649110245,2.5612359857140894,3.8119223675045917
o_,5,m_re,d_0,4.660361704203312,7.724238830676732,5.687655819717517,9.127108031677237,4.256794363512008,6.159145537889081,1.934932442334127,2.8611794070680867
o_,5,m_re,d_0,4.1415081473790805,6.924510583005851,7.3643126562887815,12.219012365156596,2.6241678412107556,3.7702983315410505,1.890509752363446,2.707675235751868
o_,5,m_re,d_0,5.439378020695214,9.252798137916429,5.2720326927875565,9.05084041148489,4.442868081170023,6.472864475370513,2.773491432163516,4.087017092769831
o_,5,m_re,d_0,5.526170016377073,9.072664748878104,6.763514533065719,11.249313071494287,3.9966157791927555,5.743734291605903,1.9499469314896893,2.7943487169166
o_,5,m_re,d_0,4.306687072866804,7.314736223177015,5.072525550674078,8.45411864079519,4.4551940577296305,6.439249527218351,2.4238170835546526,3.526965433212591
o_,5,m_re,d_0,6.1374311055929995,9.435276483652462,6.932997048368956,10.637031266281312,4.157673824884926,5.949565358393717,3.410577119383553,4.964163229783133
o_,5,m_re,d_0,5.156749642719384,8.735683647791458,4.2505406479839545,7.306051058179006,3.431118951584966,4.915962655089397,1.5859158741884483,2.2939743191677486
o_,5,m_re,d_0,2.544540466788723,4.355093219403266,3.063840774637077,5.27229434101675,4.832728946785867,6.957212113001002,4.847219564540296,7.025989253502485
o_,5,m_re,d_0,6.9467774575354655,11.328588670507973,7.714059138915619,12.55332985253666,3.614833846147582,5.151915596758064,2.804623285539713,4.005250819385308
